City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,78.46,82,10,15.19,PF,1588118488
1,seymchan,62.88,152.43,32.5,89,100,3.15,RU,1588118488
2,cape town,-33.93,18.42,55.99,87,0,4.7,ZA,1588118488
3,jamestown,42.1,-79.24,55.4,58,1,11.41,US,1588118193
4,kapaa,22.08,-159.32,80.6,69,20,18.34,US,1588118379
5,manjacaze,-24.71,33.88,65.68,91,29,2.06,MZ,1588118489
6,thompson,55.74,-97.86,39.2,35,40,4.7,CA,1588118489
7,sambava,-14.27,50.17,75.79,88,47,11.5,MG,1588118489
8,punta arenas,-53.15,-70.92,33.8,86,0,2.24,CL,1588118400
9,khatanga,71.97,102.5,17.89,97,100,4.74,RU,1588118490
10,mataura,-46.19,168.86,60.01,66,72,8.01,NZ,1588118491
11,port elizabeth,-33.92,25.57,51.8,93,20,3.36,ZA,1588118491
12,alindao,5.03,21.21,71.8,82,55,4.59,CF,1588118491
13,ribeira grande,38.52,-28.7,59.27,62,100,12.03,PT,1588118492
14,sorland,67.67,12.69,37.2,75,33,10.25,NO,1588118492
15,georgetown,5.41,100.34,78.8,88,40,2.24,MY,1588118230
16,iqaluit,63.75,-68.51,30.2,92,90,9.17,CA,1588118493
17,tiksi,71.69,128.87,19.47,96,100,7.67,RU,1588118493
18,ushuaia,-54.8,-68.3,41.0,86,91,4.72,AR,1588118432
19,hermanus,-34.42,19.23,60.66,65,0,8.16,ZA,1588118494
20,airai,-8.93,125.41,66.52,49,74,3.0,TL,1588118495
21,mahebourg,-20.41,57.7,71.6,83,75,6.93,MU,1588118495
22,busselton,-33.65,115.33,46.0,63,8,7.74,AU,1588118495
23,evensk,61.95,159.23,29.28,92,75,3.09,RU,1588118495
24,saint-augustin,51.23,-58.65,31.95,95,70,9.84,CA,1588118496
25,kavieng,-2.57,150.8,84.58,74,83,6.89,PG,1588118496
26,bethel,41.37,-73.41,62.01,25,1,4.7,US,1588118462
27,dikson,73.51,80.55,20.52,95,100,8.12,RU,1588118496
28,vostok,46.49,135.88,45.66,47,49,10.2,RU,1588118496
29,cherskiy,68.75,161.3,23.92,96,100,8.52,RU,1588118497
30,bilma,18.69,12.92,91.09,10,49,9.31,NE,1588118497
31,ulaanbaatar,47.91,106.88,48.2,45,75,3.53,MN,1588118470
32,norman wells,65.28,-126.83,39.2,44,75,5.82,CA,1588118497
33,chandur bazar,21.24,77.75,78.73,27,0,3.36,IN,1588118497
34,hilo,19.73,-155.09,82.4,58,20,12.75,US,1588118497
35,ziarat,30.38,67.73,55.42,27,0,2.37,PK,1588118413
36,sao filipe,14.9,-24.5,73.71,77,97,10.85,CV,1588118498
37,puerto ayora,-0.74,-90.35,82.4,69,20,13.87,EC,1588118498
38,bonthe,7.53,-12.51,79.92,80,82,2.84,SL,1588118499
39,upernavik,72.79,-56.15,18.84,95,100,3.8,GL,1588118499
40,vermilion,40.17,-87.75,71.6,60,90,12.75,US,1588118499
41,camalu,30.85,-116.07,73.99,50,0,4.0,MX,1588118499
42,lethem,3.38,-59.8,87.04,48,91,3.56,GY,1588118500
43,vanavara,60.34,102.28,44.33,73,94,3.42,RU,1588118500
44,nikolskoye,59.7,30.79,37.0,96,90,13.42,RU,1588118501
45,lazaro cardenas,17.96,-102.2,83.62,54,11,9.35,MX,1588118395
